Step	Train Loss	Val Loss	Rouge1	    Rouge2	    Rougel	    Rougelsum	Meteor	    Bleu
100	    0.673800	0.527211	0.762948	0.672658	0.750303	0.750230	0.831308	0.553558
200	    0.406000	0.300757	0.894008	0.833440	0.883379	0.883115	0.897116	0.791210
300	    0.359900	0.252288	0.923668	0.872167	0.912543	0.912086	0.922546	0.833043
400	    0.320500	0.237837	0.934736	0.887483	0.923516	0.923288	0.932968	0.850674
500	    0.260700	0.231075	0.940963	0.898419	0.929838	0.929435	0.939590	0.865362
600	    0.284600	0.224247	0.940320	0.897622	0.929505	0.929275	0.940967	0.864748
700	    0.294700	0.218988	0.942306	0.901768	0.932283	0.931831	0.941236	0.870212
800	    0.418900	0.212220	0.945799	0.907468	0.935350	0.935042	0.945144	0.877831
900	    0.206800	0.208185	0.946271	0.907364	0.936249	0.935785	0.945031	0.877485
1000	0.286400	0.206673	0.949345	0.911153	0.938835	0.938555	0.947608	0.881261
1100	0.177600	0.203111	0.949794	0.913428	0.939903	0.939761	0.948023	0.883474
1200	0.301900	0.201877	0.949112	0.911823	0.939101	0.939115	0.948023	0.882027
1300	0.303600	0.201266	0.949036	0.911427	0.937423	0.937304	0.949566	0.883592
1400	0.363300	0.197810	0.950380	0.912844	0.938965	0.938764	0.950221	0.885669
