Step	TrainLoss	Val Loss	Rouge1	    Rouge2	    Rougel	    Rougelsum	Meteor	    Bleu
100	    0.915500	0.755006	0.594245	0.499654	0.582500	0.582373	0.645779	0.441288
200	    0.545000	0.430589	0.845591	0.767811	0.835385	0.835142	0.858325	0.729548
300	    0.511500	0.367940	0.883009	0.817711	0.872937	0.873099	0.885111	0.780020
400	    0.538200	0.344011	0.898488	0.834171	0.887828	0.887640	0.900503	0.800174
500	    0.415500	0.338561	0.906131	0.845259	0.895601	0.895326	0.910959	0.814094
600	    0.431000	0.324378	0.912541	0.853023	0.901386	0.901504	0.913358	0.818806
700	    0.409800	0.322413	0.914742	0.855222	0.902911	0.902940	0.917494	0.822751
800	    0.575000	0.304923	0.915124	0.858418	0.904037	0.903737	0.917083	0.826638
900	    0.304600	0.298072	0.922353	0.867594	0.910858	0.910860	0.923570	0.834221
1000	0.406800	0.298219	0.920614	0.867138	0.909291	0.909129	0.922185	0.834134
1100	0.256000	0.292559	0.923000	0.869890	0.912272	0.912167	0.924717	0.836520
1200	0.411500	0.290101	0.925864	0.874053	0.915360	0.915376	0.925562	0.839319
1300	0.462800	0.286502	0.927141	0.875919	0.915741	0.915700	0.927779	0.842781
1400	0.494100	0.285162	0.928111	0.878099	0.916851	0.916522	0.927629	0.844903
1500	0.430000	0.279979	0.929359	0.879649	0.918010	0.917960	0.930030	0.847308
1600	0.295200	0.278787	0.927883	0.877702	0.916746	0.916759	0.927567	0.843599
1700	0.340300	0.276699	0.929971	0.880785	0.918349	0.918268	0.929493	0.846472
1800	0.337300	0.276828	0.930316	0.881345	0.919115	0.919154	0.930492	0.849176
1900	0.326800	0.275752	0.930857	0.881653	0.919167	0.919154	0.930935	0.849774
2000	0.332800	0.275125	0.932054	0.882771	0.920209	0.920247	0.930867	0.850471
2100	0.303400	0.275581	0.932131	0.883660	0.920607	0.920665	0.932113	0.852192
2200	0.320500	0.272948	0.931724	0.883260	0.920105	0.920166	0.930884	0.851756
2300	0.322800	0.273712	0.931567	0.883379	0.920058	0.920105	0.930408	0.851900
2400	0.280700	0.273812	0.930552	0.882578	0.919236	0.919297	0.929936	0.850906

